Bug ID,Version,File,Priority
HIVE-27675,3.1.0,jdbc/src/java/org/apache/hive/jdbc/Utils.java,Major
HIVE-27675,3.1.0,jdbc/src/java/org/apache/hive/jdbc/ZooKeeperHiveClientHelper.java,Major
HIVE-27675,3.1.0,llap-client/src/java/org/apache/hadoop/hive/registry/impl/ZkRegistryBase.java,Major
HIVE-27675,3.1.0,standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/common/SSLZookeeperFactory.java,Major
HIVE-27675,3.1.0,standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/common/ZooKeeperHiveHelper.java,Major
HIVE-27675,3.1.0,standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/conf/MetastoreConf.java,Major
HIVE-27675,3.1.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/security/MetastoreDelegationTokenManager.java,Major
HIVE-27675,3.1.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/security/ZooKeeperTokenStore.java,Major
HIVE-26018,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/exec/CommonJoinOperator.java,Major
HIVE-25659,4.0.0,standalone-metastore/metastore-common/src/main/java/org/apache/hadoop/hive/metastore/conf/MetastoreConf.java,Minor
HIVE-25659,4.0.0,standalone-metastore/metastore-server/src/main/java/org/apache/hadoop/hive/metastore/txn/TxnUtils.java,Minor
HIVE-25659,4.0.0,standalone-metastore/metastore-server/src/test/java/org/apache/hadoop/hive/metastore/txn/TestTxnUtils.java,Minor
HIVE-25443,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/io/arrow/ArrowColumnarBatchSerDe.java,Major
HIVE-25443,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/io/arrow/Deserializer.java,Major
HIVE-25443,3.1.2,ql/src/test/org/apache/hadoop/hive/ql/io/arrow/TestArrowColumnarBatchSerDe.java,Major
HIVE-25268,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFDateFormat.java,Major
HIVE-25268,4.0.0,ql/src/java/org/apache/hadoop/hive/ql/util/DateTimeMath.java,Major
HIVE-25268,4.0.0,ql/src/test/org/apache/hadoop/hive/ql/udf/generic/TestGenericUDFDateFormat.java,Major
HIVE-25219,3.1.0,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,Major
HIVE-25219,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/io/avro/AvroContainerOutputFormat.java,Major
HIVE-25219,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/io/avro/AvroGenericRecordReader.java,Major
HIVE-25219,3.1.0,serde/src/java/org/apache/hadoop/hive/serde2/avro/AvroDeserializer.java,Major
HIVE-25219,3.1.0,serde/src/java/org/apache/hadoop/hive/serde2/avro/AvroGenericRecordWritable.java,Major
HIVE-25219,3.1.0,serde/src/java/org/apache/hadoop/hive/serde2/avro/AvroSerDe.java,Major
HIVE-25219,3.1.0,serde/src/java/org/apache/hadoop/hive/serde2/avro/AvroSerializer.java,Major
HIVE-25219,3.1.0,serde/src/test/org/apache/hadoop/hive/serde2/avro/TestAvroDeserializer.java,Major
HIVE-25104,3.1.0,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,Major
HIVE-25104,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/ParquetRecordReaderBase.java,Major
HIVE-25104,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/convert/ETypeConverter.java,Major
HIVE-25104,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/read/DataWritableReadSupport.java,Major
HIVE-25104,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/timestamp/NanoTimeUtils.java,Major
HIVE-25104,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/vector/ParquetDataColumnReaderFactory.java,Major
HIVE-25104,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/write/DataWritableWriteSupport.java,Major
HIVE-25104,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/io/parquet/write/DataWritableWriter.java,Major
HIVE-25104,3.1.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/VectorizedColumnReaderTestBase.java,Major
HIVE-25104,3.1.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/convert/MyConverterParent.java,Major
HIVE-25104,3.1.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/convert/TestETypeConverter.java,Major
HIVE-25104,3.1.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/serde/TestParquetTimestampUtils.java,Major
HIVE-25104,3.1.0,ql/src/test/org/apache/hadoop/hive/ql/io/parquet/serde/TestParquetTimestampsHive2Compatibility.java,Major
HIVE-24570,4.0.0,spark-client/src/main/java/org/apache/hive/spark/client/AbstractSparkClient.java,Major
HIVE-24288,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/processors/CompileProcessor.java,Major
HIVE-24245,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/ptf/VectorPTFEvaluatorBytesCountDistinct.java,Critical
HIVE-24245,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/ptf/VectorPTFEvaluatorCountDistinct.java,Critical
HIVE-24245,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/ptf/VectorPTFEvaluatorDecimalCountDistinct.java,Critical
HIVE-24245,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/ptf/VectorPTFEvaluatorDoubleCountDistinct.java,Critical
HIVE-24245,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/ptf/VectorPTFEvaluatorLongCountDistinct.java,Critical
HIVE-24245,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/exec/vector/ptf/VectorPTFEvaluatorTimestampCountDistinct.java,Critical
HIVE-24245,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/Vectorizer.java,Critical
HIVE-24245,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/plan/VectorPTFDesc.java,Critical
HIVE-24245,3.1.2,ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFCount.java,Critical
HIVE-23873,3.1.2,jdbc-handler/src/main/java/org/apache/hive/storage/jdbc/dao/JdbcRecordIterator.java,Critical
HIVE-23717,3.1.0,common/src/java/org/apache/hadoop/hive/conf/HiveConf.java,Major
HIVE-23717,3.1.0,itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestJdbcDriver2.java,Major
HIVE-23717,3.1.0,itests/hive-unit/src/test/java/org/apache/hive/jdbc/TestRestrictedList.java,Major
HIVE-23717,3.1.0,jdbc/src/java/org/apache/hive/jdbc/HiveConnection.java,Major
HIVE-23717,3.1.0,jdbc/src/java/org/apache/hive/jdbc/Utils.java,Major
HIVE-23717,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/parse/SemanticAnalyzer.java,Major
HIVE-23717,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/processors/SetProcessor.java,Major
HIVE-23435,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/CommonJoinOperator.java,Major
HIVE-23435,3.1.0,ql/src/java/org/apache/hadoop/hive/ql/exec/CommonMergeJoinOperator.java,Major
